RegionName,date,rent_index
Davidson,1/31/17,NA
Davidson,2/28/17,NA
Davidson,3/31/17,NA
Davidson,4/30/17,NA
Davidson,5/31/17,NA
Davidson,6/30/17,NA
Davidson,7/31/17,NA
Davidson,8/31/17,NA
Davidson,9/30/17,NA
Davidson,10/31/17,NA
Davidson,11/30/17,NA
Davidson,12/31/17,NA
Davidson,1/31/18,NA
Davidson,2/28/18,NA
Davidson,3/31/18,NA
Davidson,4/30/18,NA
Davidson,5/31/18,NA
Davidson,6/30/18,NA
Davidson,7/31/18,NA
Davidson,8/31/18,NA
Davidson,9/30/18,NA
Davidson,10/31/18,NA
Davidson,11/30/18,NA
Davidson,12/31/18,NA
Davidson,1/31/19,NA
Davidson,2/28/19,NA
Davidson,3/31/19,NA
Davidson,4/30/19,NA
Davidson,5/31/19,NA
Davidson,6/30/19,NA
Davidson,7/31/19,NA
Davidson,8/31/19,NA
Davidson,9/30/19,NA
Davidson,10/31/19,NA
Davidson,11/30/19,NA
Davidson,12/31/19,NA
Davidson,1/31/20,NA
Davidson,2/29/20,NA
Davidson,3/31/20,NA
Davidson,4/30/20,NA
Davidson,5/31/20,NA
Davidson,6/30/20,NA
Davidson,7/31/20,NA
Davidson,8/31/20,NA
Davidson,9/30/20,NA
Davidson,10/31/20,NA
Davidson,11/30/20,NA
Davidson,12/31/20,NA
Davidson,1/31/21,NA
Davidson,2/28/21,NA
Davidson,3/31/21,NA
Davidson,4/30/21,NA
Davidson,5/31/21,NA
Davidson,6/30/21,NA
Davidson,7/31/21,NA
Davidson,8/31/21,NA
Davidson,9/30/21,1596.791984
Davidson,10/31/21,NA
Davidson,11/30/21,1593.843571
Davidson,12/31/21,1611.477181
Davidson,1/31/22,1613.244283
Davidson,2/28/22,1638.803815
Davidson,3/31/22,1636.483012
Davidson,4/30/22,1642.61963
Davidson,5/31/22,1655.716392
Davidson,6/30/22,1656.613846
Davidson,7/31/22,1682.854234
Davidson,8/31/22,1701.236838
Davidson,9/30/22,1713.140648
Davidson,10/31/22,1730.060015
Davidson,11/30/22,1649.057244
Davidson,12/31/22,1681.264666
Davidson,1/31/23,1674.410509
Davidson,2/28/23,1791.232916
Davidson,3/31/23,1807.628029
Davidson,4/30/23,1847.543369
Davidson,5/31/23,1831.27838
Davidson,6/30/23,1833.095982
Davidson,7/31/23,1846.235822
Davidson,8/31/23,1852.102565
Davidson,9/30/23,1859.023296
Davidson,10/31/23,1830.330924
Davidson,11/30/23,1847.511772
Davidson,12/31/23,1867.045524
Davidson,1/31/24,1873.054318
Davidson,2/29/24,1879.840952
Davidson,3/31/24,1850.329903
Davidson,4/30/24,1880.936934
Davidson,5/31/24,1845.520328
Davidson,6/30/24,1861.124621
Davidson,7/31/24,1867.088285
Davidson,8/31/24,1898.311634
Davidson,9/30/24,1879.932675
Davidson,10/31/24,1895.13872
Davidson,11/30/24,1910.580086
Davidson,12/31/24,2090.215417
