District Name,School Code,School Name,State Board Region,Grade Span,Number of Days Missed Due to Hurricane Helene,Subgroup,ACT/WorkKeys Assessments Indicator Percent,Passing NC Math 3 Percent,Four-Year Cohort Graduation Rate Percent,Five-Year Cohort Graduation Rate Percent
Charlotte-Mecklenburg Schools,600594,Merancas Middle College-CPCC,Southwest,11-13,0,Academically or Intellectually Gifted,>95,>95,>95,>95
Charlotte-Mecklenburg Schools,600594,Merancas Middle College-CPCC,Southwest,11-13,0,All Students,70.7,>95,>95,>95
Charlotte-Mecklenburg Schools,600594,Merancas Middle College-CPCC,Southwest,11-13,0,Black,60,>95,>95,>95
Charlotte-Mecklenburg Schools,600594,Merancas Middle College-CPCC,Southwest,11-13,0,Economically Disadvantaged,52.9,>95,>95,>95
Charlotte-Mecklenburg Schools,600594,Merancas Middle College-CPCC,Southwest,11-13,0,Female,65.8,>95,>95,>95
Charlotte-Mecklenburg Schools,600594,Merancas Middle College-CPCC,Southwest,11-13,0,Hispanic,58.3,>95,>95,*
Charlotte-Mecklenburg Schools,600594,Merancas Middle College-CPCC,Southwest,11-13,0,Male,80,>95,>95,>95
Charlotte-Mecklenburg Schools,600594,Merancas Middle College-CPCC,Southwest,11-13,0,Not Academically or Intellectually Gifted,60.5,>95,>95,>95
Charlotte-Mecklenburg Schools,600594,Merancas Middle College-CPCC,Southwest,11-13,0,Not Economically Disadvantaged,78,>95,>95,>95
Charlotte-Mecklenburg Schools,600594,Merancas Middle College-CPCC,Southwest,11-13,0,Not English Learner,70.7,>95,>95,>95
Charlotte-Mecklenburg Schools,600594,Merancas Middle College-CPCC,Southwest,11-13,0,Not Student with Disabilities,70.7,>95,>95,>95
Charlotte-Mecklenburg Schools,600594,Merancas Middle College-CPCC,Southwest,11-13,0,White,>95,>95,>95,>95
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,All Students,86.2,>95,>95,>95
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,Asian,85,>95,>95,>95
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,Black,73.7,95,95,>95
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,Economically Disadvantaged,82.4,>95,>95,>95
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,Female,85.4,>95,>95,>95
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,Hispanic,60,>95,>95,>95
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,Male,87.1,>95,>95,>95
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,Two or More Races,91.7,>95,>95,>95
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,Not Academically or Intellectually Gifted,86.2,>95,>95,>95
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,Not Economically Disadvantaged,86.6,>95,>95,>95
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,Not English Learner,86.7,>95,>95,>95
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,Not Student with Disabilities,87,>95,>95,>95
