reporting_year,lea_code,lea_name,school_code,school_name,sbe_region,grade_span,missed_days,title_1,subgroup,subject,den,total_pct,notprof_pct,lev3_pct,lev4_pct,lev5_pct,glp_pct,ccr_pct
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,MULT,EOG,59,,66.1,10.2,18.6,5.1,33.9,23.7
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NAIG,EOG,1727,,70.6,17,11.4,<5,29.4,12.4
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NEDS,EOG,790,,61,17.3,17.6,<5,39,21.6
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NELS,EOG,1532,,63.2,18.9,15.2,<5,36.8,18
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NSWD,EOG,1611,,63.4,18.9,15,<5,36.6,17.7
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,SWD,EOG,225,,94.7,<5,<5,<5,5.3,<5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,WHTE,EOG,90,,42.2,15.6,28.9,13.3,57.8,42.2
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,AIG,EOG06,22,,<5,9.1,72.7,13.6,>95,86.4
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ALL,EOG06,514,,67.9,19.1,12.1,<5,32.1,13
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ASIA,EOG06,16,,56.3,6.3,25,12.5,43.8,37.5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,BLCK,EOG06,310,,71.6,19,9,<5,28.4,9.4
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,EDS,EOG06,311,,71.4,20.3,8.4,<5,28.6,8.4
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ELS,EOG06,68,,92.6,<5,<5,<5,7.4,<5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,FEM,EOG06,251,,68.5,18.3,12,<5,31.5,13.1
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,HISP,EOG06,132,,65.9,21.2,12.1,<5,34.1,12.9
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,HMS,EOG06,18,,88.9,5.6,5.6,<5,11.1,5.6
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,MALE,EOG06,263,,67.3,19.8,12.2,<5,32.7,12.9
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,MULT,EOG06,22,,68.2,9.1,22.7,<5,31.8,22.7
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NAIG,EOG06,492,,70.7,19.5,9.3,<5,29.3,9.8
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NEDS,EOG06,203,,62.6,17.2,17.7,<5,37.4,20.2
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NELS,EOG06,446,,64.1,21.3,13.5,<5,35.9,14.6
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NSWD,EOG06,424,,62.3,21.9,14.6,<5,37.7,15.8
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,SWD,EOG06,90,,94.4,5.6,<5,<5,5.6,<5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,WHTE,EOG06,30,,46.7,23.3,26.7,<5,53.3,30
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,AIG,EOG07,36,,8.3,25,44.4,22.2,91.7,66.7
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ALL,EOG07,544,,64.9,14.5,17.5,<5,35.1,20.6
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ASIA,EOG07,14,,28.6,7.1,35.7,28.6,71.4,64.3
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,BLCK,EOG07,284,,64.4,15.5,17.6,<5,35.6,20.1
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,EDS,EOG07,308,,70.1,13.6,14.3,<5,29.9,16.2
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ELS,EOG07,115,,85.2,8.7,5.2,<5,14.8,6.1
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,FEM,EOG07,271,,68.3,14.4,15.1,<5,31.7,17.3
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,HISP,EOG07,206,,72.3,14.6,12.1,<5,27.7,13.1
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,HMS,EOG07,29,,89.7,<5,10.3,<5,10.3,10.3
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,MALE,EOG07,273,,61.5,14.7,19.8,<5,38.5,23.8
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,MULT,EOG07,16,,56.3,12.5,25,6.3,43.8,31.3
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NAIG,EOG07,508,,68.9,13.8,15.6,<5,31.1,17.3
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NEDS,EOG07,236,,58.1,15.7,21.6,<5,41.9,26.3
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NELS,EOG07,429,,59.4,16.1,20.7,<5,40.6,24.5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NSWD,EOG07,487,,61.2,16,19.3,<5,38.8,22.8
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,SWD,EOG07,57,,>95,<5,<5,<5,<5,<5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,WHTE,EOG07,24,,33.3,8.3,45.8,12.5,66.7,58.3
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,AIG,EOG08,51,,21.6,17.6,33.3,27.5,78.4,60.8
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ALL,EOG08,778,,68.4,17.5,11.4,<5,31.6,14.1
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ASIA,EOG08,12,,25,8.3,33.3,33.3,75,66.7
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,BLCK,EOG08,487,,66.9,19.9,11.7,<5,33.1,13.1
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,EDS,EOG08,427,,73.5,16.6,8.7,<5,26.5,9.8
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ELS,EOG08,121,,86.8,9.1,<5,<5,13.2,<5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,FEM,EOG08,392,,69.1,18.1,11,<5,30.9,12.8
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,HISP,EOG08,219,,77.2,14.2,8.7,<5,22.8,8.7
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,HMS,EOG08,24,,91.7,8.3,<5,<5,8.3,<5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,MALE,EOG08,386,,67.6,16.8,11.9,<5,32.4,15.5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,MULT,EOG08,21,,71.4,9.5,9.5,9.5,28.6,19
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NAIG,EOG08,727,,71.7,17.5,9.9,<5,28.3,10.9
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NEDS,EOG08,351,,62.1,18.5,14.8,<5,37.9,19.4
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NELS,EOG08,657,,65,19,12.8,<5,35,16
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NSWD,EOG08,700,,65.6,19.1,12.3,<5,34.4,15.3
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,SWD,EOG08,78,,93.6,<5,<5,<5,6.4,<5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,WHTE,EOG08,36,,44.4,13.9,19.4,22.2,55.6,41.7
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,AIG,M1SEP,11,,<5,27.3,27.3,45.5,>95,72.7
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ALL,M1SEP,31,,6.5,54.8,19.4,19.4,93.5,38.7
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,BLCK,M1SEP,19,,10.5,63.2,15.8,10.5,89.5,26.3
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,FEM,M1SEP,12,,8.3,50,16.7,25,91.7,41.7
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,MALE,M1SEP,19,,5.3,57.9,21.1,15.8,94.7,36.8
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NAIG,M1SEP,20,,10,70,15,5,90,20
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NEDS,M1SEP,22,,<5,54.5,18.2,22.7,>95,40.9
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NELS,M1SEP,30,,6.7,53.3,20,20,93.3,40
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NSWD,M1SEP,31,,6.5,54.8,19.4,19.4,93.5,38.7
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ALL,M8SEP,229,,86.9,9.6,<5,<5,13.1,<5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,BLCK,M8SEP,145,,87.6,9.7,<5,<5,12.4,<5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,EDS,M8SEP,135,,88.9,8.9,<5,<5,11.1,<5
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ELS,M8SEP,39,,89.7,5.1,5.1,<5,10.3,5.1
